"icao","call_sign","time","lat","lon","baro_alt","geo_alt","velocity","heading","vertical_rate","diff_time","Time"
"4aaa15","SEJPU",1623061460,59.3284994868909,18.0413502660291,967.74,1074.42,14.0415885392758,28.4429286243634,1.6256,10,0.280405405405405
"4aaa15","SEJPU",1623061470,59.3296632928363,18.0425814924569,975.36,1082.04,14.9543128100197,26.565051177078,0.32512,10,0.283783783783784
"4aaa15","SEJPU",1623061480,59.3308410644531,18.0441284179688,975.36,1082.04,16.3735491972501,43.7269699799433,0.97536,10,0.287162162162162
"4aaa15","SEJPU",1623061490,59.3318481445312,18.0464172363281,982.98,1089.66,18.00554,53.130102354156,0.65024,10,0.29054054054054
"4aaa15","SEJPU",1623061500,59.3327178955078,18.0491638183594,990.6,1097.28,17.2549763192535,63.434948822922,-0.65024,10,0.293918918918919
"4aaa15","SEJPU",1623061510,59.3331756591797,18.0518188476562,975.36,1082.04,16.3492860831096,77.2756443145776,-1.6256,10,0.297297297297297
"4aaa15","SEJPU",1623061520,59.3334503173828,18.0546569824219,960.12,1066.8,15.7389599679044,78.6900675259798,-0.65024,10,0.300675675675676
"4aaa15","SEJPU",1623061530,59.3335876464844,18.0572204589844,960.12,1066.8,13.9280428329571,94.2363947990589,-0.97536,10,0.304054054054054
"4aaa15","SEJPU",1623061540,59.3333587646484,18.0596008300781,944.88,1051.56,14.2288179863628,102.528807709151,-1.30048,10,0.307432432432432
"4aaa15","SEJPU",1623061550,59.3329685017214,18.0619022764009,944.88,1043.94,14.0510092639446,113.749494492867,0.65024,10,0.310810810810811
"4aaa15","SEJPU",1623061560,59.3323059082031,18.0639953613281,952.5,1059.18,14.1915697078405,133.531199285614,1.95072,10,0.314189189189189
"4aaa15","SEJPU",1623061570,59.3311614990234,18.0653686523438,967.74,1074.42,15.6462034356837,170.537677791974,1.30048,10,0.317567567567568
"4aaa15","SEJPU",1623061580,59.3298960540254,18.06370176118,990.6,1097.28,21.8563033377211,243.434948822922,1.6256,10,0.320945945945946
"4aaa15","SEJPU",1623061590,59.3297882080078,18.0587768554688,1005.84,1112.52,32.0816781778931,285.8191939475,1.95072,10,0.324324324324324
"4aaa15","SEJPU",1623061600,59.3321228027344,18.0546569824219,1013.46,1120.14,40.8359671880799,340.880273670069,0,10,0.327702702702703
"4aaa15","SEJPU",1623061610,59.3360595703125,18.0543823242188,990.6,1097.28,50.9273577317025,8.13010235415598,-5.52704,10,0.331081081081081
"4aaa15","SEJPU",1623061620,59.3411151433395,18.0565985317888,944.88,1051.56,56.2722729913431,14.2903250818177,-3.2512,10,0.33445945945946
"4aaa15","SEJPU",1623061630,59.3458169193591,18.0587768554688,906.78,1013.46,55.9113302949808,12.7575321608767,-3.2512,10,0.337837837837838
"4aaa15","SEJPU",1623061640,59.3508445610434,18.0611445985991,876.3,982.98,55.7738917672467,14.420773127511,-3.57632,10,0.341216216216216
"4aaa15","SEJPU",1623061650,59.3556976318359,18.063720703125,822.96,937.26,55.6480045780649,13.9077778098547,-4.55168,10,0.344594594594595
"4aaa15","SEJPU",1623061660,59.3605499267578,18.0661010742188,784.86,899.16,55.6480045780649,13.9077778098547,-3.57632,10,0.347972972972973
"4aaa15","SEJPU",1623061670,59.3654154114804,18.0683425377155,746.76,853.44,55.0262730879075,13.5165681087913,-3.2512,10,0.351351351351351
"4aaa15","SEJPU",1623061680,59.3702102919756,18.0706155711207,716.28,822.96,53.9062692820907,13.2405199151872,-2.60096,10,0.35472972972973
"4aaa15","SEJPU",1623061690,59.3746490478516,18.0727844238281,708.66,807.72,52.6570564640474,14.7150716505978,-0.97536,10,0.358108108108108
"4aaa15","SEJPU",1623061700,59.3793345305879,18.0750669282058,708.66,807.72,52.5287379571596,14.172337700132,0.97536,10,0.361486486486487
"4aaa15","SEJPU",1623061710,59.3839874267578,18.0773620605469,708.66,807.72,52.2863429489468,13.0791237800668,-0.65024,10,0.364864864864865
"4aaa15","SEJPU",1623061720,59.3883819580078,18.0792846679688,708.66,807.72,52.7875698642488,12.9527645133755,-0.32512,10,0.368243243243243
"4aaa15","SEJPU",1623061730,59.3930511474609,18.0815734863281,708.66,807.72,54.2805464247652,14.8264799703557,-0.32512,10,0.371621621621622
"4aaa15","SEJPU",1623061740,59.3977692167638,18.0839696423761,708.66,807.72,54.7780203105586,14.6887867733184,0.32512,10,0.375
"4aaa15","SEJPU",1623061750,59.4026572017346,18.0865268049569,708.66,807.72,56.2722729913431,14.2903250818177,0,10,0.378378378378378
"4aaa15","SEJPU",1623061760,59.4076995849609,18.0890808105469,716.28,815.34,56.7709407850373,14.1621680553127,0,10,0.381756756756757
"4aaa15","SEJPU",1623061770,59.4126659328655,18.0913570009429,716.28,815.34,57.417573974761,12.4174457900763,0,10,0.385135135135135
"4aaa15","SEJPU",1623061780,59.4176788330078,18.0934753417969,716.28,815.34,57.5303900558202,12.917812843934,0,10,0.388513513513513
"4aaa15","SEJPU",1623061790,59.4226746639963,18.0953348094019,685.8,784.86,56.5350316359288,7.31901937559043,-6.5024,10,0.391891891891892
"4aaa15","SEJPU",1623061800,59.4275626489672,18.0963766163793,632.46,746.76,54.4290504285017,7.05784664988108,-3.2512,10,0.39527027027027
"4aaa15","SEJPU",1623061810,59.4324971861758,18.0975131330819,586.74,693.42,52.7775418303695,6.155168343274,-5.52704,10,0.398648648648649
"4aaa15","SEJPU",1623061820,59.4370127532442,18.0986496497845,541.02,647.7,52.3874771690747,7.3343788014167,-3.90144,10,0.402027027027027
"4aaa15","SEJPU",1623061830,59.4418487548828,18.0999755859375,495.3,601.98,53.1149416510059,8.91492695714787,-5.85216,10,0.405405405405405
"4aaa15","SEJPU",1623061840,59.4463348388672,18.1015319824219,449.58,548.64,53.4056306413348,13.3669306963168,-6.82752,10,0.408783783783784
